iter	Passed	Remaining
0	2	2501
1	3	1960
2	5	1689
3	6	1536
4	7	1408
5	8	1333
6	9	1279
7	10	1296
8	11	1248
9	12	1238
10	13	1211
11	14	1184
12	15	1163
13	16	1149
14	17	1142
15	18	1155
16	19	1148
17	20	1141
18	21	1134
19	23	1128
20	24	1130
21	25	1126
22	26	1118
23	27	1113
24	28	1111
25	29	1102
26	30	1093
27	31	1089
28	32	1091
29	33	1085
30	34	1080
31	35	1072
32	36	1074
33	37	1067
34	38	1064
35	39	1060
36	40	1058
37	41	1056
38	42	1051
39	43	1047
40	44	1042
41	46	1050
42	47	1048
43	48	1049
44	49	1049
45	50	1044
46	51	1041
47	52	1037
48	53	1034
49	54	1032
50	55	1033
51	56	1036
52	57	1034
53	58	1032
54	59	1029
55	60	1027
56	62	1026
57	63	1024
58	64	1027
59	65	1024
60	66	1021
61	67	1019
62	68	1018
63	69	1015
64	70	1013
65	71	1010
66	72	1008
67	73	1012
68	75	1012
69	76	1012
70	77	1010
71	78	1008
72	79	1007
73	80	1006
74	81	1004
75	82	1002
76	83	1001
77	84	998
78	85	997
79	86	996
80	87	995
81	88	995
82	89	987
83	90	986
84	91	987
85	92	986
86	93	984
87	94	982
88	95	980
89	96	979
90	98	982
91	99	981
92	100	983
93	101	982
94	102	980
95	103	978
96	104	976
97	105	975
98	106	973
99	107	971
100	109	972
101	110	971
102	111	971
103	112	969
104	113	968
105	114	966
106	115	965
107	116	965
108	118	967
109	119	966
110	120	965
111	121	965
112	122	964
113	124	963
114	125	962
115	126	962
116	127	959
117	128	958
118	129	958
119	130	957
120	131	956
121	132	954
122	133	952
123	134	951
124	135	950
125	137	950
126	137	947
127	139	947
128	140	946
129	141	945
130	142	944
131	143	942
132	144	942
133	145	941
134	146	940
135	150	953
136	151	952
137	152	951
138	153	950
139	154	950
140	155	949
141	156	946
142	157	945
143	158	944
144	160	944
145	161	944
146	162	943
147	164	944
148	165	944
149	166	943
150	167	942
151	168	941
152	169	940
153	171	940
154	172	939
155	173	940
156	175	940
157	176	940
158	177	940
159	178	939
160	179	936
161	180	935
162	182	936
163	183	935
164	184	934
165	185	932
166	187	934
167	188	934
168	189	933
169	191	932
170	192	932
171	193	931
172	194	930
173	195	930
174	197	930
175	198	929
176	200	930
177	201	929
178	202	928
179	203	927
180	204	927
181	206	925
182	207	925
183	208	924
184	209	924
185	211	924
186	212	923
187	213	923
188	214	922
189	216	922
190	217	921
191	219	922
192	220	921
193	221	921
194	222	920
195	224	919
196	225	919
197	226	919
198	228	920
199	230	922
200	231	921
201	233	922
202	235	922
203	236	922
204	238	923
205	239	922
206	240	921
207	241	920
208	243	919
209	244	919
210	245	918
211	247	918
212	248	917
213	249	916
214	250	915
215	252	914
216	253	914
217	254	913
218	256	913
219	257	912
220	258	912
221	260	911
222	261	911
223	262	910
224	264	910
225	265	909
226	267	909
227	268	908
228	269	908
229	271	907
230	272	906
231	274	907
232	275	906
233	277	908
234	278	907
235	280	906
236	281	906
237	283	906
238	284	905
239	286	905
240	287	905
241	288	904
242	290	904
243	291	904
244	293	903
245	294	903
246	296	902
247	297	901
248	298	901
249	300	900
250	302	901
251	303	900
252	304	899
253	306	899
254	307	898
255	308	897
256	310	896
257	311	896
258	312	895
259	314	895
260	316	895
261	318	895
262	319	896
263	321	896
264	323	896
265	324	895
266	326	895
267	327	895
268	329	894
269	330	893
270	332	893
271	333	892
272	334	891
273	336	891
274	337	890
275	339	890
276	341	890
277	342	890
278	344	889
279	345	889
280	347	889
281	349	889
282	351	889
283	352	888
284	354	888
285	355	888
286	357	888
287	359	887
288	360	887
289	362	887
290	363	886
291	365	886
292	367	886
293	368	885
294	370	885
295	372	885
296	374	885
297	379	893
298	380	892
299	382	892
300	383	891
301	385	890
302	386	890
303	388	889
304	390	889
305	392	889
306	393	889
307	396	890
308	397	889
309	398	887
310	400	887
311	401	885
312	403	884
313	404	883
314	405	882
315	407	882
316	408	881
317	410	879
318	411	878
319	412	877
320	414	876
321	415	875
322	417	874
323	418	873
324	420	872
325	421	871
326	422	870
327	424	869
328	425	868
329	427	867
330	428	866
331	430	865
332	431	864
333	433	863
334	434	863
335	436	862
336	437	861
337	439	860
338	440	859
339	442	858
340	443	857
341	445	856
342	446	856
343	448	855
344	449	854
345	451	853
346	453	852
347	454	851
348	456	850
349	457	849
350	459	848
351	460	847
352	462	847
353	463	845
354	465	845
355	466	844
356	468	843
357	469	842
358	471	841
359	472	839
360	474	839
361	475	838
362	477	837
363	478	836
364	480	835
365	481	833
366	482	832
367	484	831
368	485	831
369	487	830
370	489	829
371	490	828
372	492	827
373	493	826
374	495	825
